cell_lat,cell_lon,total,weekly_avg
15.0,-90.0,48,0.017860939825643206
15.0,-85.0,38,0.014139910695300871
15.0,-80.0,25,0.009302572825855837
15.0,-75.0,55,0.020465660216882838
15.0,-70.0,92,0.034233467999149475
15.0,-65.0,157,0.05842015734637465
15.0,-60.0,12,0.0044652349564108015
15.0,-55.0,2,0.000744205826068467
15.0,-50.0,70,0.02604720391239634
15.0,-45.0,2,0.000744205826068467
15.0,-30.0,3,0.0011163087391027004
15.0,30.0,1,0.0003721029130342335
15.0,35.0,19,0.0070699553476504355
15.0,40.0,13,0.004837337869445035
15.0,55.0,4,0.001488411652136934
15.0,60.0,2,0.000744205826068467
15.0,65.0,1,0.0003721029130342335
15.0,70.0,8,0.002976823304273868
15.0,75.0,3,0.0011163087391027004
15.0,80.0,1,0.0003721029130342335
15.0,85.0,5,0.0018605145651711672
15.0,90.0,17,0.006325749521581969
15.0,95.0,54,0.020093557303848607
15.0,100.0,4,0.001488411652136934
15.0,105.0,1,0.0003721029130342335
15.0,115.0,85,0.031628747607909846
15.0,120.0,436,0.16223687008292578
15.0,125.0,1,0.0003721029130342335
15.0,140.0,49,0.01823304273867744
15.0,145.0,533,0.19833085264724643
15.0,160.0,1,0.0003721029130342335
15.0,165.0,2,0.000744205826068467
20.0,-170.0,1,0.0003721029130342335
20.0,-165.0,1,0.0003721029130342335
20.0,-160.0,8,0.002976823304273868
20.0,-120.0,7,0.002604720391239634
20.0,-115.0,6,0.0022326174782054007
20.0,-110.0,115,0.042791834998936844
20.0,-105.0,1,0.0003721029130342335
20.0,-100.0,3,0.0011163087391027004
20.0,-90.0,1,0.0003721029130342335
20.0,-85.0,1,0.0003721029130342335
20.0,-80.0,1,0.0003721029130342335
20.0,-75.0,3,0.0011163087391027004
20.0,-70.0,3,0.0011163087391027004
20.0,-65.0,5,0.0018605145651711672
20.0,-50.0,83,0.030884541781841378
20.0,-45.0,9,0.003348926217308101
20.0,25.0,1,0.0003721029130342335
20.0,30.0,1,0.0003721029130342335
20.0,60.0,16,0.005953646608547736
20.0,65.0,8,0.002976823304273868
20.0,70.0,16,0.005953646608547736
20.0,80.0,2,0.000744205826068467
20.0,85.0,4,0.001488411652136934
20.0,90.0,169,0.06288539230278545
20.0,95.0,106,0.03944290878162875
20.0,100.0,33,0.012279396130129704
20.0,105.0,8,0.002976823304273868
20.0,110.0,2,0.000744205826068467
20.0,115.0,22,0.008186264086753136
20.0,120.0,1051,0.39108016159897935
20.0,125.0,83,0.030884541781841378
20.0,135.0,1,0.0003721029130342335
20.0,140.0,321,0.11944503508398893
20.0,145.0,87,0.03237295343397831
25.0,-120.0,3,0.0011163087391027004
25.0,-115.0,90,0.033489262173081014
25.0,-110.0,30,0.011163087391027003
25.0,-95.0,1,0.0003721029130342335
25.0,-90.0,1,0.0003721029130342335
25.0,-70.0,3,0.0011163087391027004
25.0,-50.0,11,0.004093132043376568
25.0,-45.0,97,0.03609398256432064
25.0,-30.0,1,0.0003721029130342335
25.0,-20.0,2,0.000744205826068467
25.0,30.0,18,0.006697852434616202
25.0,35.0,4,0.001488411652136934
25.0,50.0,149,0.055443334042100785
25.0,55.0,203,0.07553689134594939
25.0,60.0,36,0.013395704869232404
25.0,65.0,88,0.032745056347012545
25.0,70.0,8,0.002976823304273868
25.0,75.0,3,0.0011163087391027004
25.0,80.0,58,0.02158196895598554
25.0,85.0,110,0.040931320433765676
25.0,90.0,82,0.030512438868807144
25.0,95.0,113,0.04204762917286838
25.0,100.0,109,0.040559217520731446
25.0,105.0,6,0.0022326174782054007
25.0,115.0,1,0.0003721029130342335
25.0,120.0,69,0.02567510099936211
25.0,125.0,487,0.1812141186476717
25.0,130.0,195,0.07256006804167553
